,Gm#,Date,,Tm,Location,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled,HomeGame
115,116,201408090,boxscore,ATL,,WSN,L,1,4,11,59-57,2, 4.5,Clippard,Carpenter,Soriano,3:38,N,"36,832",-,,True
116,117,201408100,boxscore,ATL,,WSN,W,3,1,,60-57,2, 3.5,Wood,Gonzalez,Kimbrel,3:07,N,"18,191",+,,True
117,118,201408110,boxscore,ATL,,LAD,L,2,6,,60-58,2, 4.0,Correia,Teheran,,3:11,N,"20,053",-,,True
118,119,201408120,boxscore,ATL,,LAD,L,2,4,,60-59,2, 5.0,Haren,Minor,Jansen,2:56,N,"31,904",--,,True
119,120,201408130,boxscore,ATL,,LAD,W,3,2,,61-59,2, 5.0,Santana,Ryu,Kimbrel,3:02,N,"33,299",+,,True
120,121,201408140,boxscore,ATL,,LAD,L,4,6,,61-60,2, 6.0,Hernandez,Harang,Jansen,3:39,D,"19,347",-,,True
121,122,201408150,boxscore,ATL,,OAK,W,7,2,,62-60,2, 6.0,Wood,Hammel,,2:37,N,"30,606",+,,True
122,123,201408160,boxscore,ATL,,OAK,W,4,3,,63-60,2, 6.0,Teheran,Gray,Kimbrel,3:11,N,"40,760",++,,True
123,124,201408170,boxscore,ATL,,OAK,W,4,3,,64-60,2, 6.0,Minor,Lester,Kimbrel,2:49,N,"25,461",+++,,True
124,125,201408180,boxscore,ATL,@,PIT,W,7,3,,65-60,2, 6.0,Santana,Worley,,3:00,N,"31,669",++++,,False
125,126,201408190,boxscore,ATL,@,PIT,W,11,3,,66-60,2, 6.0,Harang,Liriano,,2:50,N,"27,033",+++++,,False
126,127,201408200,boxscore,ATL,@,PIT,L-wo,2,3,,66-61,2, 7.0,Melancon,Carpenter,,2:45,N,"26,581",-,,False
127,128,201408210,boxscore,ATL,@,CIN,W,8,0,,67-61,2, 7.0,Teheran,Holmberg,,3:10,N,"20,243",+,,False
128,129,201408220,boxscore,ATL,@,CIN,W,3,1,12,68-61,2, 6.0,Hale,Parra,Kimbrel,4:22,N,"31,160",++,,False
129,130,201408230,boxscore,ATL,@,CIN,L,0,1,,68-62,2, 7.0,Leake,Santana,Chapman,2:47,N,"41,502",-,,False
130,131,201408240,boxscore,ATL,@,CIN,L,3,5,,68-63,2, 8.0,Simon,Harang,Broxton,3:13,D,"29,642",--,,False
131,132,201408260,boxscore,ATL,@,NYM,L,2,3,,68-64,2, 7.5,Gee,Wood,Mejia,2:27,N,"22,406",---,,False
132,133,201408270,boxscore,ATL,@,NYM,W,3,2,,69-64,2, 6.5,Teheran,Wheeler,Kimbrel,2:48,N,"22,014",+,,False
