,Gm#,Date,,Tm,Location,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled,HomeGame
11439,105,201608010,boxscore,KCR,@,TBR,W,3,0,,50-55,4, 11.0,Duffy,Archer,Herrera,2:37,N,"13,976",+,,False
11440,106,201608020,boxscore,KCR,@,TBR,W,3,2,,51-55,3, 10.0,Young,Cedeno,Herrera,3:04,N,"12,625",++,,False
11441,107,201608030,boxscore,KCR,@,TBR,L,0,12,,51-56,3, 10.0,Odorizzi,Volquez,,2:59,N,"11,149",-,,False
11442,108,201608040,boxscore,KCR,@,TBR,L,2,3,,51-57,4, 11.0,Boxberger,Soria,Colome,2:42,D,"13,120",--,,False
11443,109,201608050,boxscore,KCR,,TOR,L,3,4,,51-58,4, 11.0,Cecil,Herrera,Benoit,2:40,N,"31,831",---,,True
11444,110,201608060,boxscore,KCR,,TOR,W,4,2,,52-58,4, 11.0,Duffy,Sanchez,Herrera,2:36,N,"35,986",+,,True
11445,111,201608070,boxscore,KCR,,TOR,W,7,1,,53-58,3, 10.0,Ventura,Stroman,,2:39,D,"25,830",++,,True
11446,112,201608090,boxscore,KCR,,CHW,L,5,7,10,53-59,4, 11.0,Robertson,Herrera,Jennings,3:05,N,"27,134",-,,True
11447,113,201608100,boxscore,KCR,,CHW,W-wo,3,2,14,54-59,3, 10.0,Gee,Albers,,4:34,N,"25,188",+,,True
11448,114,201608110,boxscore,KCR,,CHW,W,2,1,,55-59,3, 10.0,Duffy,Fulmer,,2:25,N,"34,310",++,,True
11449,115,201608120,boxscore,KCR,@,MIN,W,7,3,,56-59,3, 10.0,Ventura,Gibson,,2:48,N,"24,617",+++,,False
11450,116,201608130,boxscore,KCR,@,MIN,L,3,5,,56-60,3, 11.0,Duffey,Gee,Kintzler,2:35,N,"30,147",-,,False
11451,117,201608140,boxscore,KCR,@,MIN,W,11,4,,57-60,3, 11.0,Volquez,Santiago,Young,3:07,D,"31,730",+,,False
11452,118,201608150,boxscore,KCR,@,DET,W,3,1,,58-60,3, 10.0,Kennedy,Norris,Herrera,2:58,N,"29,803",++,,False
11453,119,201608160,boxscore,KCR,@,DET,W,6,1,,59-60,3, 10.0,Duffy,Verlander,,2:43,N,"28,663",+++,,False
11454,120,201608170,boxscore,KCR,@,DET,W,4,1,,60-60,3, 9.0,Strahm,Greene,Herrera,2:47,N,"28,790",++++,,False
11455,121,201608180,boxscore,KCR,,MIN,W,8,1,,61-60,3, 9.0,Gee,Duffey,,2:15,N,"30,599",+++++,,True
11456,122,201608190,boxscore,KCR,,MIN,W-wo,5,4,11,62-60,3, 9.0,Wang,Chargois,,3:44,N,"28,463",++++++,,True
11457,123,201608200,boxscore,KCR,,MIN,W,10,0,,63-60,3, 8.0,Kennedy,Santiago,,2:31,N,"29,268",+++++++,,True
11458,124,201608210,boxscore,KCR,,MIN,W,2,1,,64-60,3, 8.0,Duffy,Santana,Herrera,2:25,D,"32,996",++++++++,,True
11459,125,201608230,boxscore,KCR,@,MIA,W,1,0,,65-60,3, 7.5,Ventura,Cashner,Herrera,2:50,N,"18,513",+++++++++,,False
11460,126,201608240,boxscore,KCR,@,MIA,L,0,3,,65-61,3, 7.5,Fernandez,Gee,Rodney,2:35,N,"17,894",-,,False
11461,127,201608250,boxscore,KCR,@,MIA,W,5,2,,66-61,3, 6.5,Volquez,Koehler,Herrera,3:13,N,"19,045",+,,False
11462,128,201608260,boxscore,KCR,@,BOS,W,6,3,,67-61,3, 6.5,Kennedy,Wright,Herrera,3:14,N,"38,134",++,,False
11463,129,201608270,boxscore,KCR,@,BOS,L,3,8,,67-62,3, 6.5,Price,Duffy,,3:03,N,"37,933",-,,False
11464,130,201608280,boxscore,KCR,@,BOS,W,10,4,,68-62,3, 5.5,Strahm,Rodriguez,,3:25,N,"37,337",+,,False
11465,131,201608290,boxscore,KCR,,NYY,W,8,5,,69-62,3, 5.5,Gee,Pineda,Herrera,3:17,N,"22,859",++,,True
11466,132,201608300,boxscore,KCR,,NYY,L,4,5,10,69-63,3, 6.5,Betances,Soria,Shreve,4:07,N,"22,895",-,,True
11467,133,201608310,boxscore,KCR,,NYY,L,4,5,13,69-64,3, 7.5,Heller,Young,Betances,4:19,N,"22,615",--,,True
11468,134,201609020,boxscore,KCR,,DET,L,6,7,,69-65,3, 8.5,Rodriguez,Davis,,3:28,N,"25,008",---,,True
11469,135,201609030,boxscore,KCR,,DET,W,5,2,,70-65,3, 8.5,Ventura,Fulmer,Davis,3:14,N,"39,757",+,,True
11470,136,201609040,boxscore,KCR,,DET,L,5,6,,70-66,3, 9.5,Greene,Soria,Rodriguez,3:19,D,"34,616",-,,True
11471,137,201609050,boxscore,KCR,@,MIN,W,11,5,,71-66,3, 8.5,Kennedy,Berrios,,3:24,D,"20,992",+,,False
11472,138,201609060,boxscore,KCR,@,MIN,W,10,3,,72-66,3, 7.5,Herrera,Kintzler,,3:07,N,"22,194",++,,False
11473,139,201609070,boxscore,KCR,@,MIN,L,5,6,,72-67,3, 8.5,Wimmers,Soria,Kintzler,3:08,N,"17,972",-,,False
11474,140,201609090,boxscore,KCR,@,CHW,L,2,7,,72-68,3, 10.0,Rodon,Ventura,,3:11,N,"20,653",--,,False
11475,141,201609100,boxscore,KCR,@,CHW,W,6,5,,73-68,3, 9.0,McCarthy,Beck,Davis,3:33,N,"20,148",+,,False
11476,142,201609110,boxscore,KCR,@,CHW,W,2,0,,74-68,3, 9.0,Kennedy,Sale,Davis,2:59,D,"20,107",++,,False
11477,143,201609120,boxscore,KCR,,OAK,L,3,16,,74-69,3, 9.0,Coulombe,Gee,Neal,3:23,N,"31,061",-,,True
11478,144,201609130,boxscore,KCR,,OAK,L,4,5,,74-70,3, 9.0,Axford,Strahm,Madson,2:56,N,"29,523",--,,True
11479,145,201609140,boxscore,KCR,,OAK,L,0,8,,74-71,3, 10.0,Manaea,Ventura,,2:56,N,"30,006",---,,True
11480,146,201609150,boxscore,KCR,,OAK,L,5,14,,74-72,3, 10.0,Mengden,Volquez,,3:19,N,"32,176",----,,True
11481,147,201609160,boxscore,KCR,,CHW,L,4,7,,74-73,3, 11.0,Sale,Herrera,,3:00,N,"29,318",-----,,True
11482,148,201609170,boxscore,KCR,,CHW,W,3,2,,75-73,3, 11.0,Gee,Gonzalez,Davis,2:36,N,"34,805",+,,True
11483,149,201609180,boxscore,KCR,,CHW,W,10,3,,76-73,3, 10.0,Duffy,Quintana,,3:04,D,"34,982",++,,True
11484,150,201609190,boxscore,KCR,,CHW,W,8,3,,77-73,3, 9.5,Ventura,Rodon,,2:35,D,"31,502",+++,2016-05-26 (Rain),True
11485,151,201609200,boxscore,KCR,@,CLE,L-wo,1,2,,77-74,3, 10.5,Miller,Flynn,,2:45,N,"13,623",-,,False
11486,152,201609210,boxscore,KCR,@,CLE,L,3,4,,77-75,3, 11.5,Kluber,Kennedy,Allen,3:20,N,"13,888",--,,False
11487,153,201609220,boxscore,KCR,@,CLE,L,2,5,,77-76,3, 12.5,Otero,Gee,Allen,2:40,N,"15,253",---,,False
11488,154,201609230,boxscore,KCR,@,DET,L,3,8,,77-77,3, 13.5,Fulmer,Duffy,,3:10,N,"29,480",----,,False
11489,155,201609240,boxscore,KCR,@,DET,W,7,4,,78-77,3, 12.5,Davis,Rodriguez,Herrera,3:50,D,"31,721",+,,False
11490,156,201609250,boxscore,KCR,@,DET,W,12,9,,79-77,3, 11.5,Gee,Boyd,Davis,3:51,D,"33,375",++,,False
11491,157,201609270,boxscore,KCR,,MIN,W-wo,4,3,11,80-77,3, 11.0,Pounders,Milone,,3:45,N,"28,435",+++,,True
11492,158,201609280,boxscore,KCR,,MIN,W,5,2,,81-77,3, 10.0,Soria,Rogers,Davis,2:58,N,"23,437",++++,,True
11493,159,201609290,boxscore,KCR,,MIN,L,6,7,,81-78,3, 10.5,Tonkin,Herrera,Kintzler,3:16,N,"29,566",-,,True
11494,160,201609300,boxscore,KCR,,CLE,L,2,7,,81-79,3, 11.5,Merritt,Ventura,,2:36,N,"24,741",--,,True
11495,161,201610010,boxscore,KCR,,CLE,L,3,6,,81-80,3, 12.5,Clevinger,Strahm,Allen,3:22,D,"28,569",---,,True
11496,162,201610020,boxscore,KCR,,CLE,L,2,3,,81-81,3, 13.5,Tomlin,Kennedy,Allen,2:26,D,"29,475",----,,True
11497,1,201604050,boxscore,HOU,@,NYY,W &H,5,3,,1-0,1,up 0.5,Keuchel,Betances,Gregerson,3:17,D,"47,820",+,2016-04-04 (Inclement weather),False
11498,2,201604060,boxscore,HOU,@,NYY,L,6,16,,1-1,2, 0.5,Pineda,McHugh,Nova,3:45,N,"37,493",-,,False
11499,3,201604070,boxscore,HOU,@,NYY,L,5,8,,1-2,2, 1.0,Shreve,Harris,Miller,3:00,D,"30,003",--,,False
11500,4,201604080,boxscore,HOU,@,MIL,L,4,6,,1-3,4, 1.0,Anderson,Feldman,Jeffress,3:08,N,"30,100",---,,False
11501,5,201604090,boxscore,HOU,@,MIL,W,6,4,,2-3,3, 0.5,Fister,Peralta,Gregerson,3:10,N,"28,127",+,,False
11502,6,201604100,boxscore,HOU,@,MIL,L,2,3,,2-4,3, 1.5,Nelson,Keuchel,Jeffress,3:08,D,"28,441",-,,False
11503,7,201604110,boxscore,HOU,,KCR,W,8,2,,3-4,3, 0.5,McHugh,Young,,2:59,N,"43,332",+,,True
11504,8,201604120,boxscore,HOU,,KCR,L,2,3,,3-5,4, 1.5,Medlen,Fiers,Davis,3:17,N,"21,027",-,,True
11505,9,201604130,boxscore,HOU,,KCR,L,2,4,,3-6,4, 2.0,Hochevar,Giles,Soria,3:03,N,"24,109",--,,True
11506,10,201604140,boxscore,HOU,,KCR,L,2,6,,3-7,5, 2.5,Kennedy,Fister,Davis,2:41,N,"21,203",---,,True
11507,11,201604150,boxscore,HOU,,DET,W,1,0,,4-7,4, 1.5,Keuchel,Pelfrey,Gregerson,2:34,N,"30,092",+,,True
11508,12,201604160,boxscore,HOU,,DET,L,3,5,,4-8,5, 2.5,Verlander,McHugh,Rodriguez,3:17,N,"30,013",-,,True
11509,13,201604170,boxscore,HOU,,DET,W,5,4,,5-8,5, 2.0,Fiers,Sanchez,Gregerson,3:13,D,"30,657",+,,True
11510,14,201604190,boxscore,HOU,@,TEX,L,5,7,,5-9,5, 3.0,Holland,Feldman,Tolleson,3:22,N,"24,181",-,,False
11511,15,201604200,boxscore,HOU,@,TEX,L,1,2,,5-10,5, 4.0,Hamels,Fister,Tolleson,3:10,N,"25,821",--,,False
11512,16,201604210,boxscore,HOU,@,TEX,L,4,7,,5-11,5, 5.0,Griffin,Keuchel,Tolleson,2:42,N,"25,886",---,,False
11513,17,201604220,boxscore,HOU,,BOS,L,2,6,,5-12,5, 5.0,Wright,McHugh,Kimbrel,3:28,N,"26,672",----,,True
11514,18,201604230,boxscore,HOU,,BOS,W,8,3,,6-12,5, 4.0,Fiers,Buchholz,,3:28,D,"40,232",+,,True
11515,19,201604240,boxscore,HOU,,BOS,L,5,7,12,6-13,5, 4.0,Hembree,Giles,,5:03,N,"32,416",-,,True
11516,20,201604250,boxscore,HOU,@,SEA,L,2,3,,6-14,5, 4.5,Walker,Fister,Cishek,2:40,N,"14,832",--,,False
11517,21,201604260,boxscore,HOU,@,SEA,L,1,11,,6-15,5, 5.5,Karns,Keuchel,,3:02,N,"13,821",---,,False
11518,22,201604270,boxscore,HOU,@,SEA,W,7,4,,7-15,5, 5.0,McHugh,Iwakuma,,3:23,N,"14,173",+,,False
11519,23,201604290,boxscore,HOU,@,OAK,L-wo,4,7,,7-16,5, 6.0,Madson,Sipp,,3:13,N,"20,159",-,,False
11520,24,201604300,boxscore,HOU,@,OAK,L,0,2,,7-17,5, 7.0,Hahn,Devenski,Madson,2:27,D,"23,084",--,,False
11521,25,201605010,boxscore,HOU,@,OAK,W,2,1,,8-17,5, 6.0,Fister,Hill,Gregerson,2:50,D,"24,135",+,,False
11522,26,201605020,boxscore,HOU,,MIN,L,2,6,,8-18,5, 7.0,Berrios,Keuchel,,3:08,N,"18,243",-,,True
11523,27,201605030,boxscore,HOU,,MIN,W,6,4,,9-18,5, 6.5,McHugh,Meyer,Gregerson,3:01,N,"21,153",+,,True
11524,28,201605040,boxscore,HOU,,MIN,W,16,4,,10-18,5, 6.5,Feldman,Hughes,,3:23,N,"20,847",++,,True
11525,29,201605050,boxscore,HOU,,SEA,L,3,6,,10-19,5, 7.5,Vincent,Gregerson,Cishek,3:13,N,"20,151",-,,True
11526,30,201605060,boxscore,HOU,,SEA,W,6,3,,11-19,5, 6.5,Fister,Walker,Gregerson,2:46,N,"25,413",+,,True
11527,31,201605070,boxscore,HOU,,SEA,L,2,3,10,11-20,5, 7.5,Cishek,Sipp,,3:27,N,"31,559",-,,True
11528,32,201605080,boxscore,HOU,,SEA,W,5,1,,12-20,5, 6.5,McHugh,Iwakuma,,2:57,D,"28,148",+,,True
11529,33,201605090,boxscore,HOU,,CLE,W,7,1,,13-20,5, 6.5,Fiers,Kluber,,2:49,N,"20,222",++,,True
11530,34,201605100,boxscore,HOU,,CLE,L,0,4,,13-21,5, 7.5,Bauer,Devenski,,2:38,N,"23,976",-,,True
11531,35,201605110,boxscore,HOU,,CLE,W-wo,5,3,16,14-21,3, 7.5,Feliz,Anderson,,5:09,D,"24,453",+,,True
11532,36,201605120,boxscore,HOU,@,BOS,L,1,11,,14-22,4, 8.0,Price,Keuchel,,2:56,N,"34,982",-,,False
11533,37,201605130,boxscore,HOU,@,BOS,W,7,6,,15-22,4, 7.0,Feldman,Barnes,Gregerson,3:49,N,"33,148",+,,False
11534,38,201605140,boxscore,HOU,@,BOS,L-wo,5,6,11,15-23,5, 7.0,Uehara,Feliz,,4:13,D,"37,430",-,,False
11535,39,201605150,boxscore,HOU,@,BOS,L,9,10,,15-24,5, 7.5,Hembree,Feldman,Kimbrel,3:40,D,"35,736",--,,False
11536,40,201605170,boxscore,HOU,@,CHW,W,6,5,11,16-24,5, 7.0,Neshek,Albers,Sipp,3:54,N,"13,481",+,,False
11537,41,201605180,boxscore,HOU,@,CHW,W,5,3,,17-24,5, 6.0,Fister,Latos,Gregerson,2:57,N,"14,936",++,,False
11538,42,201605190,boxscore,HOU,@,CHW,L,1,2,,17-25,5, 7.0,Sale,McHugh,,2:11,N,"20,096",-,,False
11539,43,201605200,boxscore,HOU,,TEX,L,1,2,,17-26,5, 8.0,Lewis,McCullers,Dyson,2:33,N,"28,724",--,,True
11540,44,201605210,boxscore,HOU,,TEX,L,1,2,,17-27,5, 9.0,Ramos,Fiers,Dyson,2:41,N,"35,040",---,,True
11541,45,201605220,boxscore,HOU,,TEX,L,2,9,,17-28,5, 10.0,Hamels,Keuchel,,2:36,D,"35,035",----,,True
11542,46,201605240,boxscore,HOU,,BAL,W-wo,3,2,13,18-28,5, 9.5,Feliz,Bundy,,4:14,N,"24,783",+,,True
11543,47,201605250,boxscore,HOU,,BAL,W,4,3,,19-28,5, 9.5,Neshek,Wilson,Gregerson,2:58,N,"25,618",++,,True
11544,48,201605260,boxscore,HOU,,BAL,W,4,2,,20-28,4, 9.0,McCullers,Gausman,Giles,3:03,N,"23,826",+++,,True
11545,49,201605270,boxscore,HOU,@,LAA,L,2,7,,20-29,4, 9.0,Shoemaker,Fiers,,2:38,N,"39,047",-,,False
11546,50,201605280,boxscore,HOU,@,LAA,W,4,2,,21-29,4, 8.0,Keuchel,Weaver,Gregerson,2:46,N,"38,176",+,,False
11547,51,201605290,boxscore,HOU,@,LAA,W,8,6,13,22-29,4, 7.5,Feliz,Morin,Gregerson,4:57,D,"36,538",++,,False
11548,52,201605300,boxscore,HOU,@,ARI,W,8,3,,23-29,4, 7.5,McHugh,Escobar,,2:54,D,"24,798",+++,,False
11549,53,201605310,boxscore,HOU,@,ARI,W,8,5,,24-29,4, 7.5,McCullers,Corbin,Gregerson,3:11,D,"15,556",++++,,False
11550,54,201606010,boxscore,HOU,,ARI,W-wo,5,4,11,25-29,3, 6.5,Feliz,Clippard,,3:43,N,"22,642",+++++,,True
11551,55,201606020,boxscore,HOU,,ARI,L,0,3,,25-30,4, 7.0,Greinke,Keuchel,Ziegler,2:36,D,"21,764",-,,True
11552,56,201606030,boxscore,HOU,,OAK,W,12,2,,26-30,3, 7.0,Fister,Hahn,,2:59,N,"26,458",+,,True
11553,57,201606040,boxscore,HOU,,OAK,W-wo,6,5,12,27-30,3, 7.0,Feldman,Madson,,4:07,D,"37,223",++,,True
11554,58,201606050,boxscore,HOU,,OAK,W,5,2,,28-30,3, 7.0,McCullers,Dull,Harris,3:05,D,"30,817",+++,,True
11555,59,201606060,boxscore,HOU,@,TEX,L-wo,5,6,,28-31,3, 8.0,Dyson,Giles,,3:08,N,"30,021",-,,False
11556,60,201606070,boxscore,HOU,@,TEX,L,3,4,,28-32,3, 9.0,Diekman,Keuchel,Dyson,2:48,N,"32,189",--,,False
11557,61,201606080,boxscore,HOU,@,TEX,W,3,1,,29-32,3, 8.0,Fister,Wilhelmsen,Harris,2:49,N,"37,696",+,,False
11558,62,201606090,boxscore,HOU,@,TEX,L,3,5,,29-33,3, 9.0,Perez,McHugh,Diekman,2:51,D,"30,145",-,,False
11559,63,201606100,boxscore,HOU,@,TBR,L,3,4,,29-34,3, 9.0,Andriese,McCullers,Colome,3:19,N,"13,075",--,,False
11560,64,201606110,boxscore,HOU,@,TBR,W,4,3,,30-34,3, 9.0,Fiers,Archer,Harris,2:52,D,"19,658",+,,False
11561,65,201606120,boxscore,HOU,@,TBR,L,0,5,,30-35,3, 10.0,Moore,Keuchel,,2:45,D,"11,168",-,,False
11562,66,201606140,boxscore,HOU,@,STL,W,5,2,,31-35,3, 9.5,Fister,Garcia,Harris,2:18,N,"42,525",+,,False
11563,67,201606150,boxscore,HOU,@,STL,W,4,1,,32-35,3, 9.5,Sipp,Siegrist,Harris,2:56,N,"42,008",++,,False
11564,68,201606170,boxscore,HOU,,CIN,L,2,4,11,32-36,3, 11.0,Hoover,Neshek,Cingrani,3:57,N,"37,560",-,,True
11565,69,201606180,boxscore,HOU,,CIN,W-wo,5,4,11,33-36,3, 11.0,Feldman,Smith,,3:05,D,"39,111",+,,True
11566,70,201606190,boxscore,HOU,,CIN,W,6,0,,34-36,3, 11.0,Fiers,Finnegan,Devenski,2:48,D,"36,369",++,,True
11567,71,201606200,boxscore,HOU,,LAA,W,10,7,,35-36,3, 11.0,Fister,Chacin,,3:13,N,"22,553",+++,,True
11568,72,201606210,boxscore,HOU,,LAA,W-wo,3,2,,36-36,3, 10.0,Gregerson,Street,,2:54,N,"25,004",++++,,True
11569,73,201606220,boxscore,HOU,,LAA,W,3,2,,37-36,2, 10.0,Gregerson,Shoemaker,Harris,3:09,D,"29,649",+++++,,True
11570,74,201606240,boxscore,HOU,@,KCR,W,13,4,,38-36,2, 9.0,Keuchel,Volquez,,2:56,N,"36,195",++++++,,False
11571,75,201606250,boxscore,HOU,@,KCR,W,13,5,,39-36,2, 9.0,Feliz,Young,,3:40,N,"38,880",+++++++,,False
11572,76,201606260,boxscore,HOU,@,KCR,L,1,6,,39-37,2, 10.0,Kennedy,Fister,,2:33,D,"36,450",-,,False
11573,77,201606270,boxscore,HOU,@,LAA,W,4,2,,40-37,2, 10.0,Gregerson,Salas,Harris,3:38,N,"36,839",+,,False
11574,78,201606280,boxscore,HOU,@,LAA,W,7,1,,41-37,2, 10.0,Feldman,Lincecum,,3:07,N,"38,781",++,,False
11575,79,201606290,boxscore,HOU,@,LAA,W,10,4,,42-37,2, 9.0,Keuchel,Weaver,,3:18,D,"36,683",+++,,False
11576,80,201607010,boxscore,HOU,,CHW,W,5,0,,43-37,2, 8.5,Fiers,Gonzalez,,2:58,N,"31,965",++++,,True
11577,81,201607020,boxscore,HOU,,CHW,L,6,7,,43-38,2, 8.5,Sale,Fister,Robertson,3:09,D,"35,116",-,,True
11578,82,201607030,boxscore,HOU,,CHW,L,1,4,,43-39,2, 8.5,Quintana,McHugh,Robertson,2:58,D,"30,379",--,,True
11579,83,201607040,boxscore,HOU,,SEA,W,2,1,,44-39,2, 7.5,McCullers,Miley,Harris,2:26,D,"29,844",+,,True
11580,84,201607050,boxscore,HOU,,SEA,W,5,2,,45-39,2, 7.5,Keuchel,Walker,Harris,2:34,N,"21,553",++,,True
11581,85,201607060,boxscore,HOU,,SEA,W,9,8,,46-39,2, 6.5,Giles,Diaz,Gregerson,3:32,N,"25,709",+++,,True
11582,86,201607070,boxscore,HOU,,OAK,L,1,3,,46-40,2, 6.5,Hill,Fister,Madson,2:32,N,"20,933",-,,True
11583,87,201607080,boxscore,HOU,,OAK,W-wo,10,9,,47-40,2, 6.5,Feliz,Madson,,3:29,N,"31,438",+,,True
11584,88,201607090,boxscore,HOU,,OAK,L,2,3,,47-41,2, 6.5,Graveman,McCullers,Dull,2:52,D,"35,312",-,,True
11585,89,201607100,boxscore,HOU,,OAK,W-wo,2,1,10,48-41,2, 5.5,Harris,Hendriks,,3:05,D,"28,119",+,,True
11586,90,201607150,boxscore,HOU,@,SEA,W,7,3,,49-41,2, 4.5,Fister,Paxton,,2:54,N,"29,217",++,,False
11587,91,201607160,boxscore,HOU,@,SEA,L,0,1,,49-42,2, 4.5,Iwakuma,McCullers,Cishek,2:46,D,"41,386",-,,False
11588,92,201607170,boxscore,HOU,@,SEA,W,8,1,,50-42,2, 4.5,McHugh,Montgomery,,2:55,D,"27,322",+,,False
11589,93,201607180,boxscore,HOU,@,OAK,L,4,7,,50-43,2, 4.5,Graveman,Fiers,Madson,3:06,N,"10,651",-,,False
11590,94,201607190,boxscore,HOU,@,OAK,L-wo,3,4,10,50-44,2, 4.5,Rzepczynski,Neshek,,3:41,N,"15,143",--,,False
11591,95,201607200,boxscore,HOU,@,OAK,W,7,0,,51-44,2, 3.5,Fister,Mengden,,3:06,D,"20,231",+,,False
11592,96,201607220,boxscore,HOU,,LAA,W,2,1,,52-44,2, 2.5,McCullers,Shoemaker,Harris,3:02,N,"36,453",++,,True
11593,97,201607230,boxscore,HOU,,LAA,W,7,2,,53-44,2, 2.5,McHugh,Weaver,,2:53,N,"35,119",+++,,True
11594,98,201607240,boxscore,HOU,,LAA,W,13,3,,54-44,2, 2.5,Fiers,Lincecum,,3:00,D,"32,721",++++,,True
11595,99,201607250,boxscore,HOU,,NYY,L,1,2,,54-45,2, 3.5,Pineda,Keuchel,Miller,2:41,N,"30,628",-,,True
11596,100,201607260,boxscore,HOU,,NYY,L,3,6,,54-46,2, 3.5,Sabathia,Fister,Miller,3:03,N,"28,134",--,,True
11597,101,201607270,boxscore,HOU,,NYY,W,4,1,,55-46,2, 2.5,McCullers,Tanaka,Harris,2:38,N,"35,186",+,,True
11598,102,201607290,boxscore,HOU,@,DET,L,6,14,,55-47,2, 4.0,Boyd,McHugh,,3:05,N,"31,771",-,,False
11599,103,201607300,boxscore,HOU,@,DET,L-wo,2,3,,55-48,2, 5.0,Verlander,Harris,,2:49,N,"34,673",--,,False
11600,104,201607310,boxscore,HOU,@,DET,L,0,11,,55-49,2, 6.0,Pelfrey,Keuchel,,2:59,D,"31,043",---,,False
11601,105,201608010,boxscore,HOU,,TOR,W-wo,2,1,14,56-49,2, 5.5,Feliz,Feldman,,4:05,N,"20,623",+,,True
11602,106,201608020,boxscore,HOU,,TOR,L,1,2,,56-50,2, 5.5,Dickey,McCullers,Grilli,2:40,N,"24,399",-,,True
11603,107,201608030,boxscore,HOU,,TOR,L,1,3,,56-51,2, 5.5,Estrada,McHugh,Osuna,2:31,N,"29,399",--,,True
11604,108,201608040,boxscore,HOU,,TOR,L,1,4,,56-52,2, 6.5,Happ,Fiers,Osuna,2:41,N,"23,190",---,,True
11605,109,201608050,boxscore,HOU,,TEX,W,5,0,,57-52,2, 5.5,Keuchel,Perez,,2:14,N,"32,820",+,,True
11606,110,201608060,boxscore,HOU,,TEX,L,2,3,,57-53,2, 6.5,Kela,Devenski,Dyson,3:07,N,"42,272",-,,True
11607,111,201608070,boxscore,HOU,,TEX,L,3,5,11,57-54,3, 7.5,Bush,Devenski,,3:57,D,"33,909",--,,True
11608,112,201608080,boxscore,HOU,@,MIN,L,1,3,,57-55,3, 8.5,Duffey,McHugh,Kintzler,2:18,N,"20,978",---,,False
11609,113,201608090,boxscore,HOU,@,MIN,W,7,5,,58-55,3, 8.5,Fiers,Santiago,Giles,3:04,N,"22,261",+,,False
11610,114,201608111,boxscore,HOU,@,MIN,W,15,7,,59-55,3, 7.5,Fister,Berrios,,3:02,D,"25,960",++,,False
11611,115,201608112,boxscore,HOU,@,MIN,W,10,2,,60-55,3, 7.5,Devenski,Milone,,2:46,N,"24,935",+++,2016-08-10 (Rain),False
11612,116,201608120,boxscore,HOU,@,TOR,W,5,3,,61-55,2, 7.5,Musgrove,Liriano,Harris,2:49,N,"46,330",++++,,False
11613,117,201608130,boxscore,HOU,@,TOR,L,2,4,,61-56,3, 7.5,Sanchez,McHugh,Osuna,2:35,D,"47,505",-,,False
11614,118,201608140,boxscore,HOU,@,TOR,L,2,9,,61-57,3, 7.5,Stroman,Fiers,,2:59,D,"47,261",--,,False
11615,119,201608160,boxscore,HOU,,STL,L,5,8,,61-58,3, 9.0,Garcia,Keuchel,Oh,3:06,N,"30,438",---,,True
11616,120,201608170,boxscore,HOU,,STL,L,2,8,,61-59,3, 10.0,Martinez,Fister,,2:59,D,"27,508",----,,True
11617,121,201608180,boxscore,HOU,@,BAL,L,5,13,,61-60,3, 10.5,Gausman,Musgrove,,2:40,N,"20,288",-----,,False
11618,122,201608190,boxscore,HOU,@,BAL,W,15,8,,62-60,3, 10.5,Devenski,Jimenez,,3:03,N,"34,422",+,,False
11619,123,201608200,boxscore,HOU,@,BAL,W,12,2,,63-60,3, 9.5,Fiers,Tillman,,3:21,N,"39,373",++,,False
11620,124,201608210,boxscore,HOU,@,BAL,W,5,3,,64-60,3, 8.5,Keuchel,Gallardo,Giles,2:32,N,"29,734",+++,,False
11621,125,201608220,boxscore,HOU,@,PIT,W,3,1,,65-60,3, 8.0,Fister,Taillon,Giles,2:17,N,"24,017",++++,,False
11622,126,201608230,boxscore,HOU,@,PIT,L,1,7,,65-61,3, 8.0,Nova,Musgrove,,2:32,N,"28,760",-,,False
11623,127,201608240,boxscore,HOU,@,PIT,W,5,4,,66-61,3, 8.0,McHugh,Cole,Giles,2:56,D,"23,717",+,,False
11624,128,201608260,boxscore,HOU,,TBR,W-wo,5,4,,67-61,3, 7.5,Giles,Colome,,2:39,N,"25,852",++,,True
11625,129,201608270,boxscore,HOU,,TBR,W,6,2,,68-61,2, 7.5,Keuchel,Snell,,2:58,N,"36,544",+++,,True
11626,130,201608280,boxscore,HOU,,TBR,L,4,10,,68-62,2, 8.5,Archer,Fister,,3:14,D,"37,484",-,,True
11627,131,201608290,boxscore,HOU,,OAK,W,6,0,,69-62,2, 8.5,Musgrove,Manaea,,2:45,N,"18,613",+,,True
11628,132,201608300,boxscore,HOU,,OAK,W,3,1,,70-62,2, 8.5,McHugh,Graveman,Giles,2:28,N,"23,114",++,,True
11629,133,201608310,boxscore,HOU,,OAK,W,4,3,,71-62,2, 8.5,Feliz,Hendriks,Giles,2:43,D,"20,033",+++,,True
11630,134,201609020,boxscore,HOU,@,TEX,L,8,10,,71-63,2, 9.5,Griffin,Fister,Dyson,3:15,N,"35,102",-,,False
11631,135,201609030,boxscore,HOU,@,TEX,L,4,12,,71-64,2, 10.5,Holland,Musgrove,,3:27,D,"35,538",--,,False
11632,136,201609040,boxscore,HOU,@,TEX,W,7,6,,72-64,2, 9.5,Devenski,Darvish,Giles,3:22,D,"46,025",+,,False
